audio_name,applied_effects,GA_effects,similarity_indv
21.mp3,"{0: {'rate_hz': 2.76}, 3: {'gain_db': 22.25}, 1: {'delay_seconds': 0.79}, 5: {'wet_level': 0.94}}",,
22.mp3,"{2: {'drive_db': 28.94}, 0: {'rate_hz': 22.26}, 4: {'depth': 0.4}, 5: {'wet_level': 0.18}, 1: {'delay_seconds': 4.77}, 3: {'gain_db': -0.28}}",,
23.mp3,"{3: {'gain_db': 48.06}, 5: {'wet_level': 0.84}, 1: {'delay_seconds': 2.95}, 2: {'drive_db': 29.0}, 4: {'depth': 0.89}, 0: {'rate_hz': 30.64}}",,
24.mp3,"{1: {'delay_seconds': 2.0}, 0: {'rate_hz': 19.02}, 2: {'drive_db': 9.46}, 3: {'gain_db': -7.75}, 5: {'wet_level': 0.7}}",,
25.mp3,"{2: {'drive_db': 27.77}, 5: {'wet_level': 0.38}, 1: {'delay_seconds': 0.46}, 3: {'gain_db': 10.99}, 4: {'depth': 0.72}}",,
26.mp3,"{1: {'delay_seconds': 6.75}, 2: {'drive_db': 26.27}, 0: {'rate_hz': 70.89}, 5: {'wet_level': 0.43}, 3: {'gain_db': -1.17}, 4: {'depth': 0.86}}",,
27.mp3,"{2: {'drive_db': 19.07}, 3: {'gain_db': 2.36}, 0: {'rate_hz': 95.24}, 4: {'depth': 0.43}}",,
28.mp3,"{0: {'rate_hz': 24.68}, 4: {'depth': 0.63}, 5: {'wet_level': 0.6}, 1: {'delay_seconds': 1.67}, 3: {'gain_db': 27.87}}",,
29.mp3,{0: {'rate_hz': 41.12}},,
30.mp3,"{0: {'rate_hz': 25.14}, 3: {'gain_db': -32.62}, 4: {'depth': 0.54}, 2: {'drive_db': 7.42}, 1: {'delay_seconds': 6.4}}",,
31.mp3,{3: {'gain_db': -7.52}},,
32.mp3,"{4: {'depth': 0.0}, 2: {'drive_db': 11.52}, 5: {'wet_level': 0.47}, 3: {'gain_db': -29.66}}",,
33.mp3,"{0: {'rate_hz': 69.57}, 4: {'depth': 0.01}, 2: {'drive_db': 29.18}, 5: {'wet_level': 0.2}, 1: {'delay_seconds': 8.61}}",,
34.mp3,{5: {'wet_level': 0.73}},,
35.mp3,"{2: {'drive_db': 12.88}, 5: {'wet_level': 0.92}, 1: {'delay_seconds': 1.74}}",,
36.mp3,"{3: {'gain_db': -1.35}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 50.42}}",,
37.mp3,"{2: {'drive_db': 32.84}, 3: {'gain_db': 28.68}, 5: {'wet_level': 0.25}}",,
38.mp3,"{0: {'rate_hz': 85.49}, 4: {'depth': 0.03}}",,
39.mp3,"{2: {'drive_db': 2.86}, 5: {'wet_level': 0.4}, 4: {'depth': 0.22}, 0: {'rate_hz': 93.07}}",,
40.mp3,"{3: {'gain_db': 40.08}, 0: {'rate_hz': 11.07}}",,
41.mp3,{3: {'gain_db': -0.06}},,
42.mp3,"{3: {'gain_db': -2.16}, 1: {'delay_seconds': 1.23}, 0: {'rate_hz': 15.99}, 2: {'drive_db': 14.81}}",,
43.mp3,"{4: {'depth': 0.12}, 3: {'gain_db': -0.64}, 2: {'drive_db': 34.18}, 1: {'delay_seconds': 2.42}, 5: {'wet_level': 0.52}, 0: {'rate_hz': 50.52}}",,
44.mp3,"{1: {'delay_seconds': 9.95}, 3: {'gain_db': -2.11}, 2: {'drive_db': 7.46}, 4: {'depth': 0.49}, 0: {'rate_hz': 66.01}}",,
45.mp3,"{4: {'depth': 0.87}, 3: {'gain_db': -22.9}, 1: {'delay_seconds': 6.53}, 0: {'rate_hz': 17.34}, 5: {'wet_level': 0.67}}",,
46.mp3,"{0: {'rate_hz': 98.61}, 3: {'gain_db': -20.73}, 5: {'wet_level': 0.43}, 2: {'drive_db': 47.18}, 1: {'delay_seconds': 4.85}}",,
47.mp3,"{1: {'delay_seconds': 6.91}, 4: {'depth': 0.75}, 3: {'gain_db': 30.97}, 2: {'drive_db': 16.92}, 5: {'wet_level': 0.23}, 0: {'rate_hz': 69.29}}",,
48.mp3,{3: {'gain_db': 20.98}},,
49.mp3,"{4: {'depth': 0.23}, 0: {'rate_hz': 36.47}, 3: {'gain_db': 25.24}, 2: {'drive_db': 49.95}}",,
50.mp3,"{3: {'gain_db': -43.92}, 5: {'wet_level': 0.44}, 0: {'rate_hz': 93.71}, 2: {'drive_db': 46.07}, 1: {'delay_seconds': 3.1}}",,
51.mp3,"{4: {'depth': 0.76}, 1: {'delay_seconds': 1.25}, 5: {'wet_level': 0.09}, 2: {'drive_db': 14.32}, 3: {'gain_db': -28.19}}",,
52.mp3,"{1: {'delay_seconds': 8.69}, 3: {'gain_db': -13.66}}",,
53.mp3,"{5: {'wet_level': 0.38}, 1: {'delay_seconds': 2.11}, 3: {'gain_db': -42.27}, 4: {'depth': 0.7}}",,
54.mp3,"{3: {'gain_db': 17.45}, 2: {'drive_db': 43.77}, 4: {'depth': 0.93}, 0: {'rate_hz': 2.0}, 5: {'wet_level': 0.97}, 1: {'delay_seconds': 8.71}}",,
55.mp3,"{4: {'depth': 0.45}, 0: {'rate_hz': 45.53}, 1: {'delay_seconds': 5.4}, 2: {'drive_db': 14.91}, 5: {'wet_level': 0.03}, 3: {'gain_db': -22.45}}",,
56.mp3,"{2: {'drive_db': 49.17}, 5: {'wet_level': 0.2}}",,
57.mp3,"{2: {'drive_db': 10.86}, 1: {'delay_seconds': 2.73}, 4: {'depth': 0.58}, 5: {'wet_level': 0.71}}",,
58.mp3,"{5: {'wet_level': 0.24}, 1: {'delay_seconds': 2.47}}",,
59.mp3,"{2: {'drive_db': 8.05}, 1: {'delay_seconds': 3.05}, 4: {'depth': 0.69}, 5: {'wet_level': 0.25}, 3: {'gain_db': 11.38}}",,
60.mp3,{3: {'gain_db': 41.16}},,
61.mp3,{4: {'depth': 0.8}},,
62.mp3,"{5: {'wet_level': 0.34}, 0: {'rate_hz': 23.39}}",,
63.mp3,"{3: {'gain_db': -39.87}, 0: {'rate_hz': 74.44}, 1: {'delay_seconds': 8.66}}",,
64.mp3,"{2: {'drive_db': 40.03}, 5: {'wet_level': 0.57}}",,
65.mp3,"{3: {'gain_db': 22.51}, 4: {'depth': 0.34}}",,
66.mp3,"{0: {'rate_hz': 47.57}, 2: {'drive_db': 5.59}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 2.23}, 4: {'depth': 0.06}, 3: {'gain_db': 14.92}}",,
67.mp3,"{5: {'wet_level': 0.15}, 3: {'gain_db': 30.05}, 4: {'depth': 0.81}}",,
68.mp3,"{1: {'delay_seconds': 4.47}, 2: {'drive_db': 8.03}, 3: {'gain_db': -44.37}, 4: {'depth': 0.42}, 0: {'rate_hz': 81.55}}",,
69.mp3,"{3: {'gain_db': 0.63}, 0: {'rate_hz': 4.53}, 4: {'depth': 0.66}, 5: {'wet_level': 0.35}, 1: {'delay_seconds': 9.25}, 2: {'drive_db': 46.01}}",,
70.mp3,{5: {'wet_level': 0.35}},,
71.mp3,"{4: {'depth': 0.54}, 1: {'delay_seconds': 5.28}}",,
72.mp3,"{3: {'gain_db': -10.94}, 0: {'rate_hz': 35.7}}",,
73.mp3,"{2: {'drive_db': 32.67}, 3: {'gain_db': 30.52}, 0: {'rate_hz': 75.92}, 1: {'delay_seconds': 2.63}, 4: {'depth': 0.27}}",,
74.mp3,"{0: {'rate_hz': 79.82}, 2: {'drive_db': 4.87}, 3: {'gain_db': -17.62}, 1: {'delay_seconds': 7.34}}",,
75.mp3,"{0: {'rate_hz': 54.92}, 5: {'wet_level': 0.89}, 2: {'drive_db': 41.74}, 3: {'gain_db': 48.44}, 4: {'depth': 0.52}}",,
76.mp3,{1: {'delay_seconds': 5.2}},,
77.mp3,"{1: {'delay_seconds': 5.48}, 5: {'wet_level': 0.62}, 2: {'drive_db': 14.3}, 0: {'rate_hz': 79.95}, 4: {'depth': 0.1}, 3: {'gain_db': 48.62}}",,
78.mp3,"{0: {'rate_hz': 12.45}, 4: {'depth': 0.54}, 3: {'gain_db': -17.27}}",,
79.mp3,{5: {'wet_level': 0.58}},,
80.mp3,"{0: {'rate_hz': 68.48}, 5: {'wet_level': 0.95}}",,
81.mp3,"{3: {'gain_db': -0.97}, 4: {'depth': 0.85}, 0: {'rate_hz': 0.43}, 1: {'delay_seconds': 7.2}}",,
82.mp3,{5: {'wet_level': 0.41}},,
83.mp3,"{5: {'wet_level': 0.07}, 4: {'depth': 0.55}, 0: {'rate_hz': 71.95}, 1: {'delay_seconds': 2.18}}",,
84.mp3,{4: {'depth': 0.22}},,
85.mp3,{2: {'drive_db': 6.87}},,
86.mp3,"{0: {'rate_hz': 0.17}, 2: {'drive_db': 24.03}, 1: {'delay_seconds': 0.6}, 3: {'gain_db': 39.07}, 5: {'wet_level': 0.55}}",,
87.mp3,"{1: {'delay_seconds': 6.63}, 5: {'wet_level': 0.92}, 4: {'depth': 0.44}, 2: {'drive_db': 47.93}, 0: {'rate_hz': 19.41}, 3: {'gain_db': 3.73}}",,
88.mp3,"{0: {'rate_hz': 2.74}, 2: {'drive_db': 49.33}}",,
89.mp3,"{4: {'depth': 0.34}, 0: {'rate_hz': 52.11}, 5: {'wet_level': 0.85}}",,
90.mp3,"{2: {'drive_db': 42.66}, 4: {'depth': 0.44}, 5: {'wet_level': 0.41}, 1: {'delay_seconds': 7.7}, 3: {'gain_db': 48.49}}",,
91.mp3,"{1: {'delay_seconds': 1.41}, 4: {'depth': 0.09}}",,
92.mp3,"{1: {'delay_seconds': 8.13}, 2: {'drive_db': 37.48}, 4: {'depth': 0.13}}",,
93.mp3,"{4: {'depth': 0.87}, 2: {'drive_db': 3.73}, 0: {'rate_hz': 29.49}, 5: {'wet_level': 0.47}}",,
94.mp3,"{4: {'depth': 0.94}, 2: {'drive_db': 29.77}, 5: {'wet_level': 0.8}, 3: {'gain_db': 27.79}, 1: {'delay_seconds': 9.28}, 0: {'rate_hz': 76.89}}",,
95.mp3,"{1: {'delay_seconds': 0.18}, 5: {'wet_level': 0.66}, 4: {'depth': 0.11}, 2: {'drive_db': 38.17}}",,
96.mp3,"{3: {'gain_db': -2.13}, 5: {'wet_level': 0.85}, 0: {'rate_hz': 42.66}, 1: {'delay_seconds': 7.05}, 4: {'depth': 0.35}}",,
97.mp3,"{4: {'depth': 0.33}, 3: {'gain_db': 45.42}, 2: {'drive_db': 45.33}, 5: {'wet_level': 0.62}, 0: {'rate_hz': 39.57}, 1: {'delay_seconds': 8.17}}",,
98.mp3,{1: {'delay_seconds': 2.63}},,
99.mp3,"{1: {'delay_seconds': 3.58}, 3: {'gain_db': -4.04}, 4: {'depth': 0.25}, 0: {'rate_hz': 9.61}, 5: {'wet_level': 0.4}}",,
100.mp3,"{2: {'drive_db': 29.04}, 4: {'depth': 0.29}, 3: {'gain_db': 28.33}}",,
101.mp3,"{3: {'gain_db': 45.39}, 0: {'rate_hz': 94.58}, 4: {'depth': 0.59}, 5: {'wet_level': 0.62}, 2: {'drive_db': 42.07}}",,
102.mp3,"{1: {'delay_seconds': 2.25}, 4: {'depth': 0.88}, 0: {'rate_hz': 27.15}, 3: {'gain_db': -21.48}, 5: {'wet_level': 0.24}}",,
103.mp3,"{2: {'drive_db': 19.07}, 1: {'delay_seconds': 0.8}, 3: {'gain_db': 49.59}}",,
104.mp3,"{2: {'drive_db': 41.26}, 5: {'wet_level': 0.83}, 1: {'delay_seconds': 7.51}, 0: {'rate_hz': 75.17}, 3: {'gain_db': -30.9}, 4: {'depth': 0.46}}",,
105.mp3,"{3: {'gain_db': -44.33}, 5: {'wet_level': 0.6}}",,
106.mp3,{2: {'drive_db': 39.39}},,
107.mp3,"{1: {'delay_seconds': 6.75}, 2: {'drive_db': 33.34}, 4: {'depth': 0.49}, 5: {'wet_level': 0.46}}",,
108.mp3,"{3: {'gain_db': 26.02}, 1: {'delay_seconds': 8.06}}",,
109.mp3,{1: {'delay_seconds': 7.68}},,
110.mp3,"{4: {'depth': 0.69}, 1: {'delay_seconds': 8.74}, 5: {'wet_level': 0.6}, 2: {'drive_db': 26.24}}",,
111.mp3,"{1: {'delay_seconds': 1.05}, 4: {'depth': 0.32}, 0: {'rate_hz': 97.69}, 2: {'drive_db': 31.95}}",,
112.mp3,"{4: {'depth': 0.22}, 1: {'delay_seconds': 5.16}, 0: {'rate_hz': 20.15}, 5: {'wet_level': 0.12}}",,
113.mp3,"{4: {'depth': 0.9}, 2: {'drive_db': 48.56}, 5: {'wet_level': 0.58}, 1: {'delay_seconds': 7.94}, 0: {'rate_hz': 76.4}, 3: {'gain_db': 1.9}}",,
114.mp3,"{1: {'delay_seconds': 0.63}, 2: {'drive_db': 49.15}, 0: {'rate_hz': 22.18}, 4: {'depth': 0.36}, 3: {'gain_db': 16.94}, 5: {'wet_level': 0.26}}",,
115.mp3,"{1: {'delay_seconds': 7.38}, 3: {'gain_db': -24.89}, 2: {'drive_db': 38.31}}",,
116.mp3,"{0: {'rate_hz': 57.81}, 5: {'wet_level': 0.47}, 1: {'delay_seconds': 1.98}, 4: {'depth': 0.56}, 3: {'gain_db': -3.07}, 2: {'drive_db': 25.78}}",,
117.mp3,{0: {'rate_hz': 81.98}},,
118.mp3,{0: {'rate_hz': 21.79}},,
119.mp3,"{2: {'drive_db': 26.28}, 5: {'wet_level': 0.78}, 3: {'gain_db': 15.23}, 4: {'depth': 0.9}, 0: {'rate_hz': 66.94}}",,
120.mp3,"{3: {'gain_db': -47.99}, 4: {'depth': 0.91}, 1: {'delay_seconds': 9.87}, 0: {'rate_hz': 21.56}, 5: {'wet_level': 0.55}, 2: {'drive_db': 29.93}}",,
121.mp3,"{4: {'depth': 0.49}, 2: {'drive_db': 14.71}}",,
122.mp3,"{2: {'drive_db': 22.31}, 0: {'rate_hz': 92.77}, 3: {'gain_db': 22.42}, 4: {'depth': 0.22}}",,
123.mp3,"{1: {'delay_seconds': 4.8}, 0: {'rate_hz': 36.9}, 5: {'wet_level': 0.09}, 4: {'depth': 0.95}, 2: {'drive_db': 5.34}}",,
124.mp3,"{4: {'depth': 0.36}, 2: {'drive_db': 44.88}}",,
125.mp3,"{5: {'wet_level': 0.74}, 1: {'delay_seconds': 7.35}, 4: {'depth': 0.58}, 0: {'rate_hz': 58.21}, 2: {'drive_db': 23.78}, 3: {'gain_db': 7.67}}",,
126.mp3,"{0: {'rate_hz': 89.26}, 2: {'drive_db': 12.99}, 1: {'delay_seconds': 0.11}}",,
127.mp3,"{0: {'rate_hz': 31.64}, 1: {'delay_seconds': 0.4}}",,
128.mp3,"{3: {'gain_db': -5.16}, 5: {'wet_level': 0.75}, 2: {'drive_db': 11.26}}",,
129.mp3,"{2: {'drive_db': 13.77}, 3: {'gain_db': -41.86}}",,
130.mp3,{1: {'delay_seconds': 0.8}},,
131.mp3,{0: {'rate_hz': 72.93}},,
132.mp3,"{1: {'delay_seconds': 6.07}, 5: {'wet_level': 0.6}, 4: {'depth': 0.77}, 2: {'drive_db': 35.26}}",,
133.mp3,"{5: {'wet_level': 0.12}, 1: {'delay_seconds': 8.86}}",,
134.mp3,"{3: {'gain_db': 14.53}, 5: {'wet_level': 0.3}, 2: {'drive_db': 19.92}, 4: {'depth': 0.31}, 1: {'delay_seconds': 2.26}}",,
135.mp3,"{3: {'gain_db': -3.84}, 5: {'wet_level': 0.48}, 0: {'rate_hz': 0.74}, 4: {'depth': 0.23}, 2: {'drive_db': 48.14}}",,
136.mp3,"{1: {'delay_seconds': 9.88}, 3: {'gain_db': 9.62}, 0: {'rate_hz': 42.65}, 2: {'drive_db': 25.62}, 5: {'wet_level': 0.52}}",,
137.mp3,"{4: {'depth': 0.5}, 2: {'drive_db': 37.58}, 3: {'gain_db': 12.61}, 0: {'rate_hz': 28.61}, 1: {'delay_seconds': 1.13}, 5: {'wet_level': 0.56}}",,
138.mp3,"{5: {'wet_level': 0.12}, 1: {'delay_seconds': 1.77}, 3: {'gain_db': 23.19}}",,
139.mp3,"{4: {'depth': 0.9}, 1: {'delay_seconds': 0.89}, 5: {'wet_level': 0.42}}",,
140.mp3,"{2: {'drive_db': 22.38}, 1: {'delay_seconds': 4.89}}",,
141.mp3,"{4: {'depth': 0.22}, 2: {'drive_db': 9.03}}",,
142.mp3,"{3: {'gain_db': -18.08}, 1: {'delay_seconds': 7.58}}",,
143.mp3,"{5: {'wet_level': 0.03}, 1: {'delay_seconds': 1.21}}",,
144.mp3,"{5: {'wet_level': 0.91}, 3: {'gain_db': -14.78}, 1: {'delay_seconds': 8.6}, 0: {'rate_hz': 6.3}, 2: {'drive_db': 11.59}}",,
145.mp3,"{2: {'drive_db': 44.42}, 0: {'rate_hz': 47.01}, 5: {'wet_level': 0.93}, 4: {'depth': 0.39}, 1: {'delay_seconds': 4.17}}",,
146.mp3,"{0: {'rate_hz': 87.61}, 1: {'delay_seconds': 0.02}}",,
147.mp3,"{5: {'wet_level': 0.36}, 1: {'delay_seconds': 8.47}, 4: {'depth': 0.37}, 0: {'rate_hz': 28.2}, 3: {'gain_db': 37.57}}",,
148.mp3,"{2: {'drive_db': 32.55}, 4: {'depth': 0.07}, 5: {'wet_level': 0.74}}",,
149.mp3,{4: {'depth': 0.32}},,
150.mp3,"{2: {'drive_db': 48.56}, 3: {'gain_db': -31.92}, 0: {'rate_hz': 36.34}, 4: {'depth': 1.0}, 5: {'wet_level': 0.37}}",,
151.mp3,"{2: {'drive_db': 11.89}, 0: {'rate_hz': 14.95}, 1: {'delay_seconds': 5.18}, 5: {'wet_level': 0.27}}",,
152.mp3,{0: {'rate_hz': 82.04}},,
153.mp3,"{4: {'depth': 0.61}, 2: {'drive_db': 24.99}, 5: {'wet_level': 0.93}, 3: {'gain_db': 19.04}, 0: {'rate_hz': 86.67}, 1: {'delay_seconds': 8.26}}",,
154.mp3,"{4: {'depth': 0.28}, 3: {'gain_db': 30.11}, 1: {'delay_seconds': 1.24}, 5: {'wet_level': 0.89}, 2: {'drive_db': 16.5}, 0: {'rate_hz': 68.0}}",,
155.mp3,"{3: {'gain_db': 1.0}, 0: {'rate_hz': 88.59}, 5: {'wet_level': 0.49}, 1: {'delay_seconds': 4.26}, 2: {'drive_db': 47.73}}",,
156.mp3,"{2: {'drive_db': 27.22}, 4: {'depth': 0.22}, 1: {'delay_seconds': 1.93}, 3: {'gain_db': 42.28}, 0: {'rate_hz': 54.19}, 5: {'wet_level': 0.07}}",,
157.mp3,"{5: {'wet_level': 0.49}, 4: {'depth': 0.17}, 3: {'gain_db': 2.08}, 1: {'delay_seconds': 6.84}, 2: {'drive_db': 35.63}}",,
158.mp3,{5: {'wet_level': 0.46}},,
159.mp3,"{5: {'wet_level': 0.75}, 2: {'drive_db': 21.05}, 0: {'rate_hz': 23.56}}",,
160.mp3,{0: {'rate_hz': 30.15}},,
161.mp3,"{5: {'wet_level': 0.7}, 1: {'delay_seconds': 6.84}, 2: {'drive_db': 27.19}, 0: {'rate_hz': 61.04}, 4: {'depth': 0.85}, 3: {'gain_db': -13.8}}",,
162.mp3,"{4: {'depth': 0.86}, 0: {'rate_hz': 8.36}}",,
163.mp3,"{4: {'depth': 0.25}, 5: {'wet_level': 0.27}, 3: {'gain_db': 40.72}, 0: {'rate_hz': 68.69}, 2: {'drive_db': 0.84}, 1: {'delay_seconds': 8.85}}",,
164.mp3,"{1: {'delay_seconds': 6.63}, 0: {'rate_hz': 43.04}, 3: {'gain_db': -49.03}}",,
165.mp3,"{4: {'depth': 0.7}, 5: {'wet_level': 0.14}, 3: {'gain_db': -38.43}, 0: {'rate_hz': 59.9}, 2: {'drive_db': 10.99}}",,
166.mp3,{1: {'delay_seconds': 7.03}},,
167.mp3,"{4: {'depth': 0.52}, 5: {'wet_level': 0.45}}",,
168.mp3,"{1: {'delay_seconds': 9.92}, 3: {'gain_db': 37.03}, 5: {'wet_level': 0.39}}",,
169.mp3,"{2: {'drive_db': 27.66}, 1: {'delay_seconds': 8.93}, 0: {'rate_hz': 19.12}, 4: {'depth': 0.51}}",,
170.mp3,"{4: {'depth': 0.86}, 3: {'gain_db': -25.45}, 1: {'delay_seconds': 4.24}}",,
171.mp3,"{5: {'wet_level': 0.25}, 0: {'rate_hz': 99.08}, 4: {'depth': 0.3}, 3: {'gain_db': -16.9}, 2: {'drive_db': 34.96}}",,
172.mp3,"{1: {'delay_seconds': 0.09}, 3: {'gain_db': -6.59}}",,
173.mp3,{4: {'depth': 0.11}},,
174.mp3,"{4: {'depth': 0.43}, 1: {'delay_seconds': 3.98}, 0: {'rate_hz': 47.98}, 2: {'drive_db': 42.61}, 3: {'gain_db': -26.09}}",,
175.mp3,"{0: {'rate_hz': 50.39}, 2: {'drive_db': 46.97}, 1: {'delay_seconds': 4.7}}",,
176.mp3,"{4: {'depth': 0.61}, 2: {'drive_db': 40.05}}",,
177.mp3,"{0: {'rate_hz': 89.96}, 5: {'wet_level': 0.01}, 4: {'depth': 0.55}, 3: {'gain_db': -35.68}, 1: {'delay_seconds': 5.34}}",,
178.mp3,"{3: {'gain_db': 28.38}, 2: {'drive_db': 21.82}, 5: {'wet_level': 0.52}, 1: {'delay_seconds': 3.28}, 0: {'rate_hz': 7.1}}",,
179.mp3,"{4: {'depth': 0.04}, 0: {'rate_hz': 87.02}}",,
180.mp3,"{2: {'drive_db': 47.73}, 3: {'gain_db': -15.02}, 1: {'delay_seconds': 3.18}}",,
181.mp3,"{3: {'gain_db': 2.18}, 0: {'rate_hz': 62.91}}",,
182.mp3,"{1: {'delay_seconds': 6.81}, 2: {'drive_db': 41.34}}",,
183.mp3,"{5: {'wet_level': 0.09}, 0: {'rate_hz': 87.52}, 3: {'gain_db': 8.22}}",,
184.mp3,"{1: {'delay_seconds': 1.19}, 3: {'gain_db': -29.26}, 0: {'rate_hz': 21.42}, 5: {'wet_level': 0.32}, 2: {'drive_db': 36.67}}",,
185.mp3,"{5: {'wet_level': 0.53}, 4: {'depth': 0.45}, 2: {'drive_db': 48.39}, 3: {'gain_db': -43.41}, 0: {'rate_hz': 94.37}, 1: {'delay_seconds': 8.49}}",,
186.mp3,"{4: {'depth': 0.29}, 1: {'delay_seconds': 0.36}, 2: {'drive_db': 31.02}}",,
187.mp3,"{3: {'gain_db': 38.88}, 4: {'depth': 0.59}, 0: {'rate_hz': 42.27}, 1: {'delay_seconds': 0.1}}",,
188.mp3,"{0: {'rate_hz': 28.32}, 2: {'drive_db': 1.72}, 3: {'gain_db': -23.94}, 1: {'delay_seconds': 8.89}, 4: {'depth': 0.72}, 5: {'wet_level': 0.95}}",,
189.mp3,"{2: {'drive_db': 11.09}, 0: {'rate_hz': 34.19}, 4: {'depth': 0.76}}",,
190.mp3,"{5: {'wet_level': 0.81}, 2: {'drive_db': 24.52}}",,
191.mp3,"{1: {'delay_seconds': 2.84}, 0: {'rate_hz': 90.12}, 3: {'gain_db': -13.68}, 5: {'wet_level': 0.07}, 4: {'depth': 0.05}}",,
192.mp3,"{2: {'drive_db': 4.49}, 0: {'rate_hz': 60.98}, 4: {'depth': 0.44}, 5: {'wet_level': 0.41}, 3: {'gain_db': -7.62}, 1: {'delay_seconds': 6.02}}",,
193.mp3,"{5: {'wet_level': 0.85}, 2: {'drive_db': 45.33}, 4: {'depth': 0.43}}",,
194.mp3,{3: {'gain_db': -27.14}},,
195.mp3,"{0: {'rate_hz': 99.06}, 3: {'gain_db': 3.49}, 5: {'wet_level': 0.89}}",,
196.mp3,"{1: {'delay_seconds': 0.12}, 5: {'wet_level': 0.56}, 2: {'drive_db': 44.01}, 4: {'depth': 0.26}, 3: {'gain_db': 13.79}, 0: {'rate_hz': 61.95}}",,
197.mp3,"{0: {'rate_hz': 66.47}, 1: {'delay_seconds': 4.78}, 4: {'depth': 0.39}, 3: {'gain_db': -26.07}}",,
198.mp3,"{4: {'depth': 0.81}, 2: {'drive_db': 11.04}, 1: {'delay_seconds': 8.94}}",,
199.mp3,"{2: {'drive_db': 35.77}, 5: {'wet_level': 0.85}}",,
