applied_effects,random_effects,similarity_indv
"{3: {'gain_db': -42.92}, 1: {'delay_seconds': 1.4}, 2: {'drive_db': 25.19}, 4: {'depth': 0.39}, 0: {'rate_hz': 83.42}}","{2: {'drive_db': 38.19}, 1: {'delay_seconds': 7.65}}",0.15143560105985213
"{3: {'gain_db': 14.77}, 5: {'wet_level': 0.66}, 0: {'rate_hz': 47.44}}","{1: {'delay_seconds': 9.22}, 3: {'gain_db': -14.57}, 2: {'drive_db': 1.0}, 5: {'wet_level': 0.88}}",0.30341979311409606
"{5: {'wet_level': 0.48}, 0: {'rate_hz': 77.53}, 3: {'gain_db': 47.34}, 4: {'depth': 0.36}, 1: {'delay_seconds': 2.46}, 2: {'drive_db': 22.41}}","{5: {'wet_level': 0.32}, 2: {'drive_db': 12.72}, 0: {'rate_hz': 98.25}, 4: {'depth': 0.33}, 1: {'delay_seconds': 5.68}, 3: {'gain_db': -12.92}}",0.6634740346007543
"{0: {'rate_hz': 83.63}, 5: {'wet_level': 0.25}, 2: {'drive_db': 9.4}, 3: {'gain_db': -6.16}, 4: {'depth': 0.4}}",{4: {'depth': 0.48}},0.17333333333333334
"{2: {'drive_db': 11.42}, 3: {'gain_db': 36.23}, 0: {'rate_hz': 86.72}, 1: {'delay_seconds': 6.62}, 5: {'wet_level': 0.24}}","{0: {'rate_hz': 47.1}, 1: {'delay_seconds': 5.12}}",0.26330824071080594
"{0: {'rate_hz': 20.02}, 4: {'depth': 0.76}, 5: {'wet_level': 0.42}, 3: {'gain_db': -8.18}}","{0: {'rate_hz': 69.46}, 2: {'drive_db': 39.69}, 3: {'gain_db': -27.58}, 5: {'wet_level': 0.91}}",0.3008924887277343
"{5: {'wet_level': 0.23}, 2: {'drive_db': 45.49}, 1: {'delay_seconds': 2.82}, 0: {'rate_hz': 73.32}}",{0: {'rate_hz': 10.11}},0.034472176759410805
"{3: {'gain_db': 5.58}, 4: {'depth': 0.07}}","{2: {'drive_db': 41.4}, 3: {'gain_db': 23.55}, 4: {'depth': 0.49}}",0.408356452193293
{4: {'depth': 0.94}},"{2: {'drive_db': 27.52}, 0: {'rate_hz': 94.61}}",0.0
"{2: {'drive_db': 35.88}, 1: {'delay_seconds': 6.04}, 3: {'gain_db': -5.41}, 0: {'rate_hz': 83.16}, 5: {'wet_level': 0.48}}","{1: {'delay_seconds': 2.08}, 4: {'depth': 0.95}, 2: {'drive_db': 28.07}, 5: {'wet_level': 0.52}, 3: {'gain_db': -22.78}, 0: {'rate_hz': 27.17}}",0.5105026714190333
"{0: {'rate_hz': 67.47}, 1: {'delay_seconds': 5.7}, 4: {'depth': 0.76}, 2: {'drive_db': 21.9}}",{2: {'drive_db': 47.49}},0.022330960854092502
"{4: {'depth': 0.78}, 3: {'gain_db': 40.33}, 1: {'delay_seconds': 6.12}}","{4: {'depth': 0.54}, 5: {'wet_level': 0.84}, 2: {'drive_db': 30.9}, 3: {'gain_db': -20.25}}",0.25541390968159483
{5: {'wet_level': 0.6}},"{5: {'wet_level': 0.79}, 3: {'gain_db': 35.38}, 2: {'drive_db': 1.84}, 0: {'rate_hz': 33.56}, 4: {'depth': 0.83}}",0.13666666666666666
{2: {'drive_db': 42.6}},"{0: {'rate_hz': 99.77}, 5: {'wet_level': 0.76}, 3: {'gain_db': 3.72}}",0.0
"{5: {'wet_level': 0.51}, 3: {'gain_db': -25.52}, 4: {'depth': 0.74}, 0: {'rate_hz': 54.55}}","{1: {'delay_seconds': 8.63}, 4: {'depth': 0.82}, 0: {'rate_hz': 71.49}, 2: {'drive_db': 3.46}, 5: {'wet_level': 0.15}}",0.3750937501366143
"{1: {'delay_seconds': 2.62}, 0: {'rate_hz': 95.63}, 3: {'gain_db': -1.44}, 4: {'depth': 0.73}, 5: {'wet_level': 0.7}, 2: {'drive_db': 28.85}}","{3: {'gain_db': -26.85}, 1: {'delay_seconds': 6.17}, 4: {'depth': 0.97}, 0: {'rate_hz': 16.42}, 5: {'wet_level': 0.71}, 2: {'drive_db': 0.46}}",0.47826529529476824
"{3: {'gain_db': 36.91}, 0: {'rate_hz': 9.2}, 2: {'drive_db': 5.97}, 1: {'delay_seconds': 5.25}, 5: {'wet_level': 0.91}, 4: {'depth': 0.06}}",{4: {'depth': 0.17}},0.14716312056737588
"{1: {'delay_seconds': 5.36}, 3: {'gain_db': -43.61}, 4: {'depth': 0.18}, 5: {'wet_level': 0.35}}",{1: {'delay_seconds': 9.28}},0.06716417910447767
"{2: {'drive_db': 12.79}, 4: {'depth': 0.35}, 0: {'rate_hz': 66.19}}","{0: {'rate_hz': 92.17}, 5: {'wet_level': 0.63}, 3: {'gain_db': -19.95}, 4: {'depth': 0.27}}",0.3711041640033935
"{1: {'delay_seconds': 3.9}, 5: {'wet_level': 0.24}}","{4: {'depth': 0.57}, 0: {'rate_hz': 86.68}, 3: {'gain_db': 26.65}, 1: {'delay_seconds': 8.86}, 5: {'wet_level': 0.68}, 2: {'drive_db': 12.75}}",0.1013229795800978
"{1: {'delay_seconds': 4.88}, 5: {'wet_level': 0.64}, 0: {'rate_hz': 45.08}, 3: {'gain_db': 47.76}, 4: {'depth': 0.66}, 2: {'drive_db': 12.8}}","{4: {'depth': 0.67}, 2: {'drive_db': 4.03}, 5: {'wet_level': 0.85}, 1: {'delay_seconds': 5.81}}",0.5398883619460736
"{4: {'depth': 0.63}, 1: {'delay_seconds': 0.15}, 0: {'rate_hz': 17.68}, 3: {'gain_db': -38.26}, 5: {'wet_level': 0.38}, 2: {'drive_db': 15.12}}",{1: {'delay_seconds': 7.7}},0.038917089678511
{5: {'wet_level': 0.26}},"{3: {'gain_db': 29.22}, 2: {'drive_db': 42.5}}",0.0
"{0: {'rate_hz': 5.43}, 4: {'depth': 0.95}, 2: {'drive_db': 40.94}, 3: {'gain_db': -23.1}}","{2: {'drive_db': 28.31}, 5: {'wet_level': 0.8}}",0.17287493893502687
"{2: {'drive_db': 45.58}, 0: {'rate_hz': 11.94}, 5: {'wet_level': 0.23}, 4: {'depth': 0.01}, 1: {'delay_seconds': 4.73}, 3: {'gain_db': 6.22}}","{2: {'drive_db': 16.81}, 0: {'rate_hz': 92.17}, 5: {'wet_level': 0.91}, 4: {'depth': 0.76}}",0.13617101887241007
"{3: {'gain_db': -36.47}, 1: {'delay_seconds': 3.7}, 2: {'drive_db': 13.6}}","{4: {'depth': 1.0}, 2: {'drive_db': 3.26}, 5: {'wet_level': 0.54}, 0: {'rate_hz': 7.43}, 3: {'gain_db': 1.01}, 1: {'delay_seconds': 6.97}}",0.29390688690156713
{2: {'drive_db': 45.73}},"{2: {'drive_db': 31.46}, 0: {'rate_hz': 65.98}, 4: {'depth': 0.47}, 5: {'wet_level': 0.79}, 1: {'delay_seconds': 0.95}, 3: {'gain_db': -18.75}}",0.114658502806327
"{1: {'delay_seconds': 1.27}, 0: {'rate_hz': 81.5}, 2: {'drive_db': 28.18}}","{5: {'wet_level': 0.53}, 1: {'delay_seconds': 2.23}, 2: {'drive_db': 5.98}, 3: {'gain_db': -31.19}, 0: {'rate_hz': 20.79}}",0.2714667255955534
"{0: {'rate_hz': 61.03}, 5: {'wet_level': 0.8}}","{5: {'wet_level': 0.84}, 0: {'rate_hz': 54.34}, 3: {'gain_db': -41.54}, 1: {'delay_seconds': 8.84}}",0.4600954448631821
{5: {'wet_level': 0.9}},"{1: {'delay_seconds': 5.41}, 2: {'drive_db': 8.31}, 5: {'wet_level': 0.56}, 0: {'rate_hz': 73.34}}",0.15555555555555556
"{0: {'rate_hz': 45.38}, 5: {'wet_level': 0.68}}","{3: {'gain_db': -27.01}, 0: {'rate_hz': 54.89}, 1: {'delay_seconds': 8.12}, 4: {'depth': 0.5}}",0.20647198828268035
"{3: {'gain_db': 40.64}, 5: {'wet_level': 0.45}}",{3: {'gain_db': -39.2}},0.05957634598411293
"{3: {'gain_db': 36.12}, 0: {'rate_hz': 15.27}, 2: {'drive_db': 32.22}, 1: {'delay_seconds': 6.52}, 5: {'wet_level': 0.43}, 4: {'depth': 0.46}}",{5: {'wet_level': 0.35}},0.14327485380116958
"{4: {'depth': 0.12}, 1: {'delay_seconds': 0.95}, 5: {'wet_level': 0.21}, 2: {'drive_db': 28.29}, 0: {'rate_hz': 3.35}, 3: {'gain_db': -19.29}}","{5: {'wet_level': 0.95}, 2: {'drive_db': 4.82}, 4: {'depth': 0.26}, 3: {'gain_db': -34.23}, 0: {'rate_hz': 28.09}}",0.4338312931003653
"{0: {'rate_hz': 71.57}, 4: {'depth': 0.65}, 3: {'gain_db': 30.58}, 2: {'drive_db': 16.5}, 5: {'wet_level': 0.62}}","{5: {'wet_level': 0.96}, 3: {'gain_db': -9.18}, 2: {'drive_db': 14.02}, 1: {'delay_seconds': 2.03}}",0.37683207338992597
"{5: {'wet_level': 0.93}, 3: {'gain_db': -36.27}, 2: {'drive_db': 34.96}, 1: {'delay_seconds': 6.41}}","{2: {'drive_db': 46.76}, 3: {'gain_db': -3.28}, 1: {'delay_seconds': 6.45}, 0: {'rate_hz': 46.24}, 4: {'depth': 0.05}, 5: {'wet_level': 0.77}}",0.5169640092175083
"{1: {'delay_seconds': 1.0}, 2: {'drive_db': 4.76}, 5: {'wet_level': 0.28}, 4: {'depth': 0.52}, 0: {'rate_hz': 34.96}, 3: {'gain_db': 19.05}}","{5: {'wet_level': 0.43}, 2: {'drive_db': 25.06}, 1: {'delay_seconds': 5.66}, 4: {'depth': 0.43}}",0.4420156695156695
"{0: {'rate_hz': 19.05}, 5: {'wet_level': 0.66}, 1: {'delay_seconds': 4.51}}",{3: {'gain_db': 14.6}},0.0
{4: {'depth': 0.15}},"{3: {'gain_db': 26.75}, 1: {'delay_seconds': 2.03}}",0.0
{4: {'depth': 0.48}},"{0: {'rate_hz': 64.77}, 1: {'delay_seconds': 4.61}, 5: {'wet_level': 0.55}, 2: {'drive_db': 6.77}}",0.0
"{4: {'depth': 0.07}, 0: {'rate_hz': 49.09}}",{2: {'drive_db': 49.7}},0.0
"{0: {'rate_hz': 25.08}, 2: {'drive_db': 34.68}, 3: {'gain_db': -45.76}}","{0: {'rate_hz': 38.28}, 4: {'depth': 0.6}, 5: {'wet_level': 0.35}, 2: {'drive_db': 19.3}, 1: {'delay_seconds': 6.18}, 3: {'gain_db': 11.44}}",0.29716702343041923
"{2: {'drive_db': 23.29}, 3: {'gain_db': 12.35}}","{0: {'rate_hz': 86.66}, 5: {'wet_level': 0.03}}",0.0
"{3: {'gain_db': -16.8}, 2: {'drive_db': 45.6}}",{2: {'drive_db': 3.27}},0.03585526315789478
{5: {'wet_level': 0.26}},"{5: {'wet_level': 0.97}, 4: {'depth': 0.75}}",0.020270270270270285
{4: {'depth': 0.93}},"{2: {'drive_db': 8.58}, 0: {'rate_hz': 7.48}, 5: {'wet_level': 0.68}, 1: {'delay_seconds': 8.78}}",0.0
"{5: {'wet_level': 0.68}, 1: {'delay_seconds': 2.2}, 2: {'drive_db': 8.16}, 0: {'rate_hz': 80.09}, 3: {'gain_db': -29.41}, 4: {'depth': 0.82}}","{0: {'rate_hz': 81.67}, 2: {'drive_db': 22.03}, 3: {'gain_db': 22.2}}",0.33314218190497885
"{0: {'rate_hz': 69.62}, 5: {'wet_level': 0.19}}",{5: {'wet_level': 0.38}},0.3827160493827161
"{0: {'rate_hz': 58.53}, 4: {'depth': 0.51}, 2: {'drive_db': 12.87}, 3: {'gain_db': -12.23}, 5: {'wet_level': 0.16}}",{1: {'delay_seconds': 7.09}},0.0
{5: {'wet_level': 0.73}},"{2: {'drive_db': 30.92}, 5: {'wet_level': 0.11}, 4: {'depth': 0.64}, 3: {'gain_db': 38.58}}",0.03767123287671231
"{4: {'depth': 0.79}, 5: {'wet_level': 0.95}, 0: {'rate_hz': 13.24}, 1: {'delay_seconds': 8.08}}",{2: {'drive_db': 10.75}},0.0
{3: {'gain_db': -44.31}},"{3: {'gain_db': -10.03}, 2: {'drive_db': 46.37}, 4: {'depth': 0.92}, 5: {'wet_level': 0.96}}",0.1591294666525289
"{1: {'delay_seconds': 9.53}, 4: {'depth': 0.06}, 3: {'gain_db': -29.61}, 2: {'drive_db': 16.82}, 5: {'wet_level': 0.9}, 0: {'rate_hz': 53.53}}","{4: {'depth': 0.45}, 5: {'wet_level': 0.3}, 3: {'gain_db': 21.37}, 2: {'drive_db': 42.11}, 1: {'delay_seconds': 0.3}, 0: {'rate_hz': 32.08}}",0.35777190190578656
"{4: {'depth': 0.7}, 1: {'delay_seconds': 7.06}, 3: {'gain_db': 14.31}, 2: {'drive_db': 28.75}}","{4: {'depth': 0.54}, 1: {'delay_seconds': 2.31}, 0: {'rate_hz': 47.89}, 3: {'gain_db': -39.64}}",0.31492968410234196
"{1: {'delay_seconds': 0.45}, 2: {'drive_db': 29.67}, 5: {'wet_level': 1.0}, 0: {'rate_hz': 6.93}}","{0: {'rate_hz': 60.64}, 5: {'wet_level': 0.59}, 4: {'depth': 0.3}, 3: {'gain_db': -12.76}, 2: {'drive_db': 42.84}, 1: {'delay_seconds': 0.42}}",0.4276472363203921
"{4: {'depth': 0.54}, 0: {'rate_hz': 46.15}, 5: {'wet_level': 0.37}, 1: {'delay_seconds': 9.45}}","{3: {'gain_db': -25.76}, 4: {'depth': 0.77}, 5: {'wet_level': 0.71}, 2: {'drive_db': 43.12}, 0: {'rate_hz': 30.58}, 1: {'delay_seconds': 6.0}}",0.39669594651024553
"{4: {'depth': 0.87}, 2: {'drive_db': 12.58}, 5: {'wet_level': 0.48}}",{1: {'delay_seconds': 4.5}},0.0
"{0: {'rate_hz': 8.96}, 1: {'delay_seconds': 4.47}, 2: {'drive_db': 17.47}, 3: {'gain_db': 37.36}}","{2: {'drive_db': 22.02}, 4: {'depth': 0.81}, 3: {'gain_db': 6.09}}",0.37554624309879076
"{3: {'gain_db': 40.74}, 0: {'rate_hz': 39.8}, 5: {'wet_level': 0.04}, 4: {'depth': 0.99}, 2: {'drive_db': 8.3}}","{2: {'drive_db': 43.72}, 1: {'delay_seconds': 3.4}, 0: {'rate_hz': 27.3}, 5: {'wet_level': 0.48}, 4: {'depth': 0.19}, 3: {'gain_db': -45.2}}",0.28824042899392266
{5: {'wet_level': 0.63}},"{2: {'drive_db': 35.59}, 0: {'rate_hz': 72.0}, 5: {'wet_level': 0.78}, 3: {'gain_db': -45.03}}",0.19047619047619047
"{2: {'drive_db': 37.44}, 5: {'wet_level': 0.8}, 3: {'gain_db': 19.78}}","{3: {'gain_db': -12.56}, 4: {'depth': 0.48}, 5: {'wet_level': 0.57}, 0: {'rate_hz': 59.36}}",0.3122608555460017
"{1: {'delay_seconds': 7.45}, 3: {'gain_db': -18.69}, 0: {'rate_hz': 89.75}}","{3: {'gain_db': 40.78}, 0: {'rate_hz': 46.36}, 2: {'drive_db': 1.52}, 1: {'delay_seconds': 4.89}, 5: {'wet_level': 0.27}, 4: {'depth': 0.0}}",0.21785800562216784
"{4: {'depth': 0.19}, 2: {'drive_db': 15.24}, 0: {'rate_hz': 4.23}}","{2: {'drive_db': 26.73}, 1: {'delay_seconds': 4.01}, 0: {'rate_hz': 35.93}, 3: {'gain_db': 48.9}}",0.3346115708869531
"{0: {'rate_hz': 11.03}, 1: {'delay_seconds': 2.48}, 4: {'depth': 0.89}}","{2: {'drive_db': 39.1}, 0: {'rate_hz': 52.89}, 5: {'wet_level': 0.97}, 4: {'depth': 0.79}, 3: {'gain_db': -28.82}, 1: {'delay_seconds': 5.89}}",0.3272812216551715
{3: {'gain_db': 1.27}},{5: {'wet_level': 0.83}},0.0
"{3: {'gain_db': -12.89}, 5: {'wet_level': 0.52}, 4: {'depth': 0.09}, 0: {'rate_hz': 63.08}}","{0: {'rate_hz': 91.91}, 2: {'drive_db': 15.51}, 3: {'gain_db': -24.27}, 4: {'depth': 0.83}, 1: {'delay_seconds': 6.03}}",0.3097647278361549
"{0: {'rate_hz': 64.55}, 4: {'depth': 0.58}, 5: {'wet_level': 0.23}}","{3: {'gain_db': 1.19}, 1: {'delay_seconds': 9.65}, 5: {'wet_level': 0.56}}",0.19047619047619047
"{5: {'wet_level': 0.9}, 2: {'drive_db': 36.61}}","{0: {'rate_hz': 79.05}, 2: {'drive_db': 14.32}, 5: {'wet_level': 0.36}, 3: {'gain_db': -37.72}, 1: {'delay_seconds': 5.66}, 4: {'depth': 0.13}}",0.131858326504598
"{5: {'wet_level': 0.58}, 2: {'drive_db': 0.02}, 4: {'depth': 0.45}, 0: {'rate_hz': 72.33}, 1: {'delay_seconds': 7.69}, 3: {'gain_db': 42.28}}","{0: {'rate_hz': 48.29}, 1: {'delay_seconds': 6.82}}",0.2590834188364256
"{1: {'delay_seconds': 1.77}, 3: {'gain_db': 21.77}, 2: {'drive_db': 41.33}, 0: {'rate_hz': 72.07}, 5: {'wet_level': 0.52}, 4: {'depth': 0.87}}","{2: {'drive_db': 24.03}, 5: {'wet_level': 0.71}, 1: {'delay_seconds': 9.07}, 0: {'rate_hz': 38.35}, 3: {'gain_db': -23.42}, 4: {'depth': 0.13}}",0.3968218366850864
"{4: {'depth': 0.86}, 5: {'wet_level': 0.7}, 2: {'drive_db': 12.02}, 3: {'gain_db': 42.34}}","{0: {'rate_hz': 39.6}, 5: {'wet_level': 0.91}, 2: {'drive_db': 34.83}, 4: {'depth': 0.63}, 3: {'gain_db': 25.98}}",0.530961512785342
"{0: {'rate_hz': 90.92}, 1: {'delay_seconds': 4.47}, 5: {'wet_level': 0.77}, 2: {'drive_db': 44.0}, 4: {'depth': 0.56}}","{2: {'drive_db': 35.93}, 3: {'gain_db': 27.92}}",0.16331818181818183
{0: {'rate_hz': 77.55}},{2: {'drive_db': 22.94}},0.0
"{1: {'delay_seconds': 0.93}, 3: {'gain_db': 47.56}, 0: {'rate_hz': 36.61}}","{4: {'depth': 0.81}, 3: {'gain_db': -7.31}, 0: {'rate_hz': 31.92}, 1: {'delay_seconds': 2.43}, 2: {'drive_db': 16.17}, 5: {'wet_level': 0.22}}",0.3663683446192032
"{2: {'drive_db': 0.21}, 3: {'gain_db': 20.92}}",{5: {'wet_level': 0.01}},0.0
"{0: {'rate_hz': 62.01}, 3: {'gain_db': -7.86}, 1: {'delay_seconds': 1.84}}","{1: {'delay_seconds': 1.16}, 5: {'wet_level': 0.77}, 0: {'rate_hz': 38.76}}",0.5139090469279148
"{5: {'wet_level': 0.8}, 0: {'rate_hz': 61.31}, 2: {'drive_db': 24.35}, 1: {'delay_seconds': 5.71}}","{5: {'wet_level': 0.58}, 1: {'delay_seconds': 7.85}, 0: {'rate_hz': 39.36}, 2: {'drive_db': 11.54}, 3: {'gain_db': 29.92}}",0.4985574145486581
{2: {'drive_db': 48.48}},"{0: {'rate_hz': 44.06}, 2: {'drive_db': 28.26}, 5: {'wet_level': 0.14}, 3: {'gain_db': 27.3}, 4: {'depth': 0.14}, 1: {'delay_seconds': 1.78}}",0.09715346534653466
"{0: {'rate_hz': 19.29}, 3: {'gain_db': -23.42}}","{3: {'gain_db': 32.94}, 5: {'wet_level': 0.49}, 0: {'rate_hz': 9.24}}",0.3692806227595791
"{3: {'gain_db': 24.42}, 1: {'delay_seconds': 2.58}, 2: {'drive_db': 15.21}, 5: {'wet_level': 0.1}, 4: {'depth': 0.39}}","{1: {'delay_seconds': 0.91}, 4: {'depth': 0.44}, 2: {'drive_db': 18.78}, 0: {'rate_hz': 34.87}, 5: {'wet_level': 0.29}, 3: {'gain_db': 40.58}}",0.6936821112750935
"{0: {'rate_hz': 60.34}, 5: {'wet_level': 0.42}, 1: {'delay_seconds': 4.76}, 2: {'drive_db': 43.15}, 4: {'depth': 0.76}, 3: {'gain_db': 44.3}}",{2: {'drive_db': 0.71}},0.0027423715720355326
"{5: {'wet_level': 0.96}, 0: {'rate_hz': 65.13}, 3: {'gain_db': -31.52}, 1: {'delay_seconds': 1.49}, 2: {'drive_db': 40.14}, 4: {'depth': 0.45}}",{3: {'gain_db': -23.46}},0.15018809290153745
"{4: {'depth': 0.62}, 0: {'rate_hz': 50.8}, 3: {'gain_db': 7.3}, 5: {'wet_level': 0.1}, 1: {'delay_seconds': 3.47}, 2: {'drive_db': 15.37}}",{0: {'rate_hz': 24.57}},0.08061023622047243
"{4: {'depth': 0.5}, 5: {'wet_level': 0.75}, 3: {'gain_db': 22.77}, 0: {'rate_hz': 61.33}}","{0: {'rate_hz': 13.01}, 2: {'drive_db': 33.31}, 1: {'delay_seconds': 5.15}}",0.0530327735203
{3: {'gain_db': -23.25}},"{1: {'delay_seconds': 2.16}, 0: {'rate_hz': 48.9}, 5: {'wet_level': 0.48}, 4: {'depth': 0.96}, 2: {'drive_db': 23.43}}",0.0
"{2: {'drive_db': 42.43}, 4: {'depth': 0.59}, 3: {'gain_db': 35.32}}","{1: {'delay_seconds': 1.33}, 4: {'depth': 0.84}, 0: {'rate_hz': 99.82}, 3: {'gain_db': -48.33}}",0.14896113931996788
"{0: {'rate_hz': 84.59}, 5: {'wet_level': 0.29}, 3: {'gain_db': -19.54}}","{1: {'delay_seconds': 9.72}, 4: {'depth': 0.62}, 0: {'rate_hz': 1.92}, 5: {'wet_level': 0.63}, 2: {'drive_db': 15.44}, 3: {'gain_db': -41.54}}",0.20457663279541913
"{1: {'delay_seconds': 7.98}, 5: {'wet_level': 0.52}, 4: {'depth': 0.87}}","{5: {'wet_level': 0.42}, 1: {'delay_seconds': 6.24}, 4: {'depth': 0.53}, 0: {'rate_hz': 30.14}, 2: {'drive_db': 27.75}, 3: {'gain_db': -32.02}}",0.3664737662015338
"{5: {'wet_level': 0.15}, 4: {'depth': 0.28}, 2: {'drive_db': 2.86}}","{2: {'drive_db': 19.9}, 1: {'delay_seconds': 3.23}, 0: {'rate_hz': 64.99}, 3: {'gain_db': 1.85}}",0.15963088672040732
{4: {'depth': 0.99}},"{2: {'drive_db': 6.48}, 1: {'delay_seconds': 8.49}, 3: {'gain_db': 47.63}, 4: {'depth': 0.97}, 5: {'wet_level': 0.43}, 0: {'rate_hz': 27.07}}",0.16329966329966328
{1: {'delay_seconds': 4.12}},{5: {'wet_level': 0.39}},0.0
"{0: {'rate_hz': 81.65}, 4: {'depth': 0.93}, 2: {'drive_db': 37.28}, 3: {'gain_db': -9.86}, 5: {'wet_level': 0.63}, 1: {'delay_seconds': 6.74}}","{0: {'rate_hz': 73.26}, 1: {'delay_seconds': 6.3}, 4: {'depth': 0.36}, 5: {'wet_level': 0.79}, 3: {'gain_db': -20.44}}",0.6313908694390086
"{0: {'rate_hz': 61.96}, 1: {'delay_seconds': 6.42}, 3: {'gain_db': 48.19}}","{5: {'wet_level': 1.0}, 4: {'depth': 0.6}, 3: {'gain_db': -0.23}}",0.16895814237702414
"{0: {'rate_hz': 96.5}, 4: {'depth': 0.65}, 5: {'wet_level': 0.09}, 2: {'drive_db': 1.26}, 3: {'gain_db': 40.09}}","{0: {'rate_hz': 43.07}, 1: {'delay_seconds': 3.29}, 5: {'wet_level': 0.6}, 4: {'depth': 0.1}}",0.2079455673859819
"{0: {'rate_hz': 14.18}, 5: {'wet_level': 0.25}, 1: {'delay_seconds': 2.57}}",{0: {'rate_hz': 79.0}},0.08156606851549755
"{3: {'gain_db': 13.54}, 5: {'wet_level': 0.65}, 4: {'depth': 0.83}, 1: {'delay_seconds': 3.94}, 0: {'rate_hz': 11.38}, 2: {'drive_db': 11.9}}","{1: {'delay_seconds': 2.47}, 3: {'gain_db': -3.22}, 2: {'drive_db': 20.5}, 5: {'wet_level': 0.37}, 4: {'depth': 0.9}, 0: {'rate_hz': 71.33}}",0.679390443489483
"{4: {'depth': 0.27}, 0: {'rate_hz': 26.38}, 5: {'wet_level': 0.62}, 3: {'gain_db': -30.43}, 1: {'delay_seconds': 3.14}, 2: {'drive_db': 17.03}}","{2: {'drive_db': 13.99}, 3: {'gain_db': -6.33}}",0.26802592118319446
"{0: {'rate_hz': 35.4}, 2: {'drive_db': 16.36}, 3: {'gain_db': -40.82}, 1: {'delay_seconds': 9.73}, 5: {'wet_level': 0.97}, 4: {'depth': 0.87}}",{3: {'gain_db': -41.28}},0.1658225060559348
"{2: {'drive_db': 13.34}, 1: {'delay_seconds': 0.47}, 4: {'depth': 1.0}, 0: {'rate_hz': 6.85}, 5: {'wet_level': 1.0}}","{0: {'rate_hz': 19.49}, 3: {'gain_db': 8.49}, 5: {'wet_level': 0.35}, 4: {'depth': 0.68}, 2: {'drive_db': 19.11}}",0.5473825262915611
"{2: {'drive_db': 36.31}, 3: {'gain_db': 28.14}}",{3: {'gain_db': -10.07}},0.25550294343486046
{5: {'wet_level': 0.0}},"{4: {'depth': 0.03}, 0: {'rate_hz': 63.03}}",0.0
"{4: {'depth': 0.51}, 0: {'rate_hz': 52.55}, 5: {'wet_level': 0.07}, 3: {'gain_db': -24.23}, 1: {'delay_seconds': 3.56}}","{2: {'drive_db': 27.7}, 5: {'wet_level': 0.39}, 0: {'rate_hz': 44.13}, 1: {'delay_seconds': 1.97}, 4: {'depth': 0.93}, 3: {'gain_db': 35.16}}",0.43753016216504165
